r, n(r;f), dh, beta
0.3595,1.159033738515057,0.30624524579906015,1.7982324284834104
0.359,1.1590798869801267,0.3064039403662167,1.798304027491839
0.3585,1.1591259613965195,0.3065625425876809,1.798375511614283
0.358,1.1591719688352549,0.306721076347107,1.7984468918213783
0.3575,1.159217909296333,0.3068795412241158,1.7985181681131246
0.357,1.1592637784096236,0.3070379217003176,1.7985893337092966
0.3565,1.1593095761751264,0.3071962173075455,1.798660388609894
0.356,1.1593552998919525,0.30735441822718346,1.7987313286245072
0.3555,1.1594009637021407,0.30751257296621193,1.7988021756944068
0.355,1.1594465605346715,0.30767065664758747,1.7988729188489574
0.3545,1.1594920789483953,0.3078286291193501,1.7989435403372982
0.354,1.1595375260143315,0.30798651441204805,1.7990140511300647
0.3535,1.1595829061026104,0.3081443272579636,1.7990844580074823
0.353,1.159628219213232,0.3083020672297088,1.799154760969551
0.3525,1.159673465346196,0.3084597338991326,1.7992249600162704
0.352,1.1597186401313724,0.308617311585806,1.7992950483674155
0.35150000000000003,1.1597637479388916,0.3087748150806714,1.7993650328032118
0.35100000000000003,1.1598087843986231,0.3089322286708658,1.7994349065434336
0.35050000000000003,1.159853746809678,0.30908954242421455,1.7995046653976712
0.35000000000000003,1.1598986493140946,0.3092468053886791,1.7995743313071948
0.34950000000000003,1.1599434733997045,0.3094039522727696,1.799643875550509
0.34900000000000003,1.1599882375786763,0.3095610475208434,1.7997133268491095
0.34850000000000003,1.1600329233388411,0.3097180257088929,1.7997826564815003
0.34800000000000003,1.1600775491923678,0.30987495141076693,1.7998518931691772
0.34750000000000003,1.160122100997218,0.31003177446056185,1.7999210149708702
0.34700000000000003,1.1601665814542803,0.31018850386816055,1.7999900260769883
0.34650000000000003,1.1602109949336856,0.3103451545714777,1.8000589332677581
0.34600000000000003,1.1602553414354333,0.31050172613248295,1.8001277365431783
0.34550000000000003,1.1602996165893935,0.310658202659822,1.8001964291230246
0.34500000000000003,1.1603438247656963,0.31081459913559034,1.8002650177875215
0.34450000000000003,1.1603879659643417,0.31097091511952857,1.8003335025366696
0.34400000000000003,1.1604320358151996,0.3111271346715746,1.8004018765902434
0.3435,1.1604760316173806,0.31128324771497845,1.8004701357578328
0.343,1.1605199675129239,0.31143930398833697,1.8005383019807086
0.3425,1.1605638320606793,0.3115952624248719,1.8006063575080098
0.342,1.1606076296307775,0.31175113809518135,1.8006743091199624
0.3415,1.1606513487820687,0.3119068897746003,1.8007421390657052
0.341,1.1606950080267218,0.31206258294498596,1.8008098760667341
0.3405,1.1607385932226981,0.3122181667282646,1.8008774981817788
0.34,1.1607821141419064,0.31237367553656026,1.8009450205718844
0.3395,1.1608255610124378,0.31252907398203084,1.8010124280760058
0.339,1.1608689479763314,0.3126844121988367,1.8010797426354137
0.3385,1.1609122608915483,0.3128396391052093,1.801146942308837
0.338,1.1609555095299968,0.31299478924913343,1.8012140422573215
0.3375,1.1609986797496383,0.3131498114003933,1.8012810205395962
0.337,1.1610417873617527,0.31330476184763795,1.801347901686747
0.3365,1.161084830697099,0.31345963417651757,1.801414683108959
0.336,1.1611277999837684,0.31361439275121566,1.8014813496451867
0.3355,1.1611707049936697,0.313769072289683,1.8015479164564754
0.335,1.1612135359548943,0.3139236370852308,1.8016143683817798
0.3345,1.1612562999384615,0.3140781121626932,1.8016807163917352
0.334,1.1612989996452603,0.31423250683732956,1.8017469646767512
0.3335,1.1613416253033826,0.3143867852961352,1.8018130980757834
0.333,1.1613841910548668,0.3145409982676446,1.8018791385301016
0.3325,1.161426678387544,0.3146950782025601,1.8019450573182103
0.332,1.1614691031126942,0.31484908194435657,1.8020108789711955
0.3315,1.1615114635610762,0.31500300301234774,1.8020766008992413
0.331,1.161553745590651,0.31515678951366793,1.8021422011610777
0.3305,1.161595967713588,0.3153105082963644,1.8022077084782002
0.33,1.1616381157878484,0.3154641074122196,1.8022731009093387
0.3295,1.1616802039554706,0.31561763793695935,1.8023384003957632
0.329,1.161722213704286,0.31577103185556366,1.8024035782159784
0.3285,1.1617641564754437,0.31592433041995527,1.8024686521208442
0.328,1.1618060349698336,0.3160775430523615,1.8025336263007714
0.3275,1.1618478508566963,0.31623067543297667,1.8025985033455747
0.327,1.1618895883247518,0.31638366915701627,1.8026632587241682
0.3265,1.161931261516039,0.31653657555136394,1.8027279143778228
0.326,1.1619728650287802,0.31668937432943195,1.8027924619257187
0.3255,1.1620144042647529,0.31684208486337145,1.8028569097486753
0.325,1.1620558765230682,0.31699469677050335,1.8029212536562829
0.3245,1.162097277433596,0.3171471934775531,1.8029854868683162
0.324,1.1621386113664665,0.3172995905890327,1.8030496161650005
0.3235,1.1621798783216795,0.3174518876351228,1.8031136415463358
0.323,1.1622210712282157,0.31760405801176306,1.8031775520416866
0.3225,1.1622622069290034,0.3177561634815687,1.8032413737827342
0.322,1.162303268581114,0.3179081413078906,1.803305080637797
0.3215,1.1623442632555674,0.31806001715186955,1.803368683577511
0.321,1.1623851865822332,0.3182117743267548,1.8034321758216505
0.3205,1.1624260429312416,0.31836342854136007,1.803495564150441
0.32,1.1624668323025928,0.31851497932130374,1.803558848563883
0.3195,1.162507561767306,0.3186664525013212,1.8036220400326108
0.319,1.1625482128132123,0.31881777873551326,1.8036851098351294
0.3185,1.1625888039524803,0.3189690264370404,1.8037480866929336
0.318,1.1626293210430718,0.3191201424339385,1.803810948664754
0.3175,1.1626697738568952,0.3192711626714561,1.8038737109116354
0.317,1.1627101526220416,0.319422050167137,1.8039363582725323
0.3165,1.1627504714805503,0.31957285728817547,1.803998912688716
0.316,1.1627907233614014,0.3197235571446878,1.80406136318955
0.3155,1.162830903894465,0.3198741328718477,1.80412370299481
0.315,1.1628710174498713,0.3200246003426063,1.804185938884721
0.3145,1.1629110640276203,0.3201749590756493,1.8042480708592832
0.314,1.1629510392575817,0.3203251921576457,1.8043100921382709
0.3135,1.1629909589510354,0.32047535856503107,1.8043720272527701
0.313,1.163030800225682,0.3206253717380084,1.8044338407010596
0.3125,1.1630705772235603,0.3207752843947817,1.8044955544244101
0.312,1.1631102845428924,0.32092507569261086,1.804557160042002
0.3115,1.1631499275854562,0.321074765524118,1.8046186659346548
0.311,1.1631895036503626,0.32122434321974164,1.8046800679119583
0.3105,1.1632290127376117,0.3213738082933164,1.804741365973913
0.31,1.1632684504770732,0.32152314370232127,1.8048025533402936
0.3095,1.1633078212388772,0.3216723654840815,1.8048636367913247
0.309,1.1633471250230238,0.3218214731506583,1.804924616327007
0.3085,1.1633863618295135,0.3219704662135266,1.8049854919473405
0.308,1.1634255343592346,0.32211935445400197,1.8050462678427346
0.3075,1.1634646328402791,0.3222681002176972,1.8051069288521449
0.307,1.1635036714146856,0.32241675681613907,1.805167496916841
0.3065,1.1635426386413046,0.3225652802056483,1.805227954285963
0.306,1.1635815432603964,0.32271370320826515,1.8052883145199614
0.3055,1.1636203765317008,0.3228619919874791,1.8053485640583857
0.305,1.1636591428253475,0.32301016271522653,1.8054087096814604
0.3045,1.1636978377712068,0.3231581981717969,1.805468744608961
0.304,1.1637364771805585,0.3233061583904785,1.8055286933719734
0.3035,1.1637750381711032,0.3234539552548182,1.8055885204687763
0.303,1.16381353925501,0.32360165920033246,1.8056482546208654
0.3025,1.163851968991129,0.3237492258536978,1.8057078780773803
0.302,1.163890336119721,0.32389668828081003,1.8057674043987713
0.3015,1.1639286319005255,0.3240440123923951,1.8058268200245882
0.301,1.1639668607036724,0.32419121448011357,1.8058861317350554
0.3005,1.164005018159032,0.32433827719575403,1.805945332749949
0.3,1.1640431200778838,0.3244852610171508,1.8060044476003543
0.2995,1.1640811435779286,0.3246320771738111,1.8060634407845497
0.299,1.1641191071713353,0.32477879662244813,1.8061223410240312
0.2985,1.164157003787085,0.3249253915733333,1.8061811373481642
0.298,1.1641948361260661,0.3250718719884335,1.8062398339473575
0.2975,1.1642325944163707,0.3252181995086068,1.8062984156605673
0.297,1.164270285729018,0.3253644009978753,1.8063568934584275
0.2965,1.1643079171350272,0.3255105034199551,1.8064152783115743
0.296,1.1643454744923598,0.32565645136666344,1.8064735482787369
0.2955,1.1643829746439436,0.32580230980120023,1.8065317294915957
0.295,1.1644204007468506,0.3259480127233149,1.8065897958184702
0.2945,1.1644577598721002,0.3260935871197183,1.8066477582299956
0.294,1.1644950520196926,0.32623903248610403,1.8067056167261721
0.2935,1.1645322798905167,0.3263843588658999,1.8067633754974095
0.293,1.1645694451538138,0.32652957230753066,1.8068210371335234
0.2925,1.1646065390693232,0.3266746381549302,1.8068785880740628
0.292,1.164643561637045,0.32681955585545186,1.8069360283190277
0.2915,1.1646805215972398,0.32696435911439026,1.8069933714288693
0.291,1.1647174216507967,0.32710905806678986,1.8070506215939974
0.2905,1.1647542432855467,0.32725357958857865,1.8071077500929158
0.29,1.1647910050136585,0.3273979958069435,1.80716478564712
0.2895,1.1648276953939827,0.32754226128163766,1.80722171050575
0.289,1.1648643231667801,0.327686409869945,1.8072785382292569
0.2885,1.164900886662809,0.32783043453036514,1.8073352662278241
0.28800000000000003,1.1649373831811807,0.3279743241282115,1.8073918903110426
0.28750000000000003,1.1649738056508758,0.3281180502376137,1.8074483995082773
0.28700000000000003,1.1650101682139329,0.3282616681532277,1.8075048157607978
0.28650000000000003,1.1650464708703518,0.328405177438364,1.8075611390686044
0.28600000000000003,1.165082695107964,0.32854850437688965,1.8076173407102019
0.28550000000000003,1.1651188594389381,0.32869172167966726,1.8076734494070852
0.28500000000000003,1.1651549497212355,0.32883477282884666,1.8077294432179845
0.28450000000000003,1.1651909757267647,0.32897769602104304,1.8077853373039448
0.28400000000000003,1.1652269461957863,0.32912052549179566,1.8078411452254166
0.28350000000000003,1.1652628382460009,0.3292631698672457,1.807896831480679
0.28300000000000003,1.1652986703895776,0.32940570218196563,1.8079524247912278
0.28250000000000003,1.1653344355554969,0.32954809383131384,1.8080079141864274
0.28200000000000003,1.1653701337437588,0.3296903442998748,1.808063299666278
0.28150000000000003,1.1654057649543634,0.32983245307181097,1.8081185812307796
0.281,1.1654413248171804,0.32997440217835605,1.808173752099707
0.2805,1.1654768247733593,0.33011623678826224,1.8082288300239204
0.28,1.1655122577518813,0.3302579281705214,1.8082838040327853
0.2795,1.1655476237527456,0.33039947580764456,1.8083386741263008
0.279,1.1655829254768417,0.3305408900059035,1.8083934444948773
0.2785,1.1656181575223916,0.3306821486081748,1.8084481067576954
0.278,1.1656533252911732,0.33082327275354895,1.808502669295574
0.2775,1.1656884260822973,0.3309642510987988,1.8085571279181036
0.277,1.1657234669667838,0.3311051115615556,1.8086114935959199
0.2765,1.1657584338025933,0.3312457967725341,1.8086657443877516
0.276,1.1657933363616346,0.3313863455047554,1.8087198954546442
0.2755,1.1658281719430186,0.3315267463756069,1.808773942606188
0.275,1.1658629405467453,0.3316669988641096,1.8088278858423827
0.2745,1.165897649243834,0.33180713100965536,1.8088817361338636
0.274,1.1659322909632654,0.33194711377919367,1.8089354825099957
0.2735,1.1659668586340202,0.3320869180404959,1.8089891140001437
0.273,1.166001369099026,0.3322266114042044,1.8090426567359879
0.2725,1.1660358055153552,0.3323661251839209,1.8090960845858477
0.272,1.1660701820250463,0.33250551615076207,1.8091494194909934
0.2715,1.1661044915570802,0.3326447551464124,1.8092026504807905
0.271,1.1661387341114569,0.3327838416470172,1.809255777555239
0.2705,1.1661729167591954,0.33292280388641476,1.8093088116849734
0.27,1.1662070280591466,0.33306159484262493,1.8093617351191336
0.2695,1.1662410653104207,0.3332002029417605,1.8094145436673092
0.269,1.166275054096207,0.3333387318994134,1.8094672770216325
0.2685,1.1663089600930556,0.3334770413111872,1.8095198819295202
0.268,1.1663428105533968,0.3336152417966281,1.80957240067292
0.2675,1.1663765940360806,0.3337532861786764,1.8096248155009704
0.267,1.1664103061709767,0.3338911560510828,1.8096771196334465
0.2665,1.166443958399235,0.33402889769110006,1.809729330821209
0.266,1.1664775436498358,0.3341664816660965,1.8097814380936224
0.2655,1.1665110619227794,0.33430390744867206,1.8098334414506871
0.265,1.1665445132180658,0.3344411745111321,1.809885340892403
0.2645,1.1665779046067142,0.3345783113780812,1.809937147389405
0.264,1.1666112246475748,0.3347152705469892,1.8099888431908324
0.2635,1.1666444820809085,0.33485208741537276,1.8100404418571365
0.263,1.1666776752374741,0.3349887546240058,1.8100919407985017
0.2625,1.1667107943453627,0.33512523138691314,1.810143324853882
0.262,1.166743860617633,0.335261604625808,1.8101946269351845
0.2615,1.1667768484710963,0.335397768313784,1.8102458073502772
0.261,1.1668097807880518,0.3355338163719672,1.8102969016008814
0.2605,1.1668426417572197,0.3356696829880906,1.8103478851559114
0.26,1.1668754401188608,0.33580540376906415,1.810398771575818
0.2595,1.166908167132714,0.3359409420166573,1.81044954730015
0.259,1.1669408342399294,0.3360763445971306,1.8105002300797686
