Effective Refractance index n(r,f). f =  2.00000000000000000Mode #  1
Радиус 	                n(r,f) 	
1.05500000000000002E-1	1.17393311096808463E+0	
1.06000000000000002E-1	1.17391999882196636E+0	
1.06500000000000002E-1	1.17390682676921018E+0	
1.07000000000000002E-1	1.17389359480981611E+0	
1.07500000000000002E-1	1.17388029587276471E+0	
1.08000000000000002E-1	1.17386693702907541E+0	
1.08500000000000002E-1	1.17385351120772878E+0	
1.09000000000000002E-1	1.17384002547974426E+0	
1.09500000000000002E-1	1.17382647984512183E+0	
1.10000000000000002E-1	1.17381286723284207E+0	
1.10500000000000002E-1	1.17379919471392442E+0	
1.11000000000000002E-1	1.17378545958747978E+0	
1.11500000000000002E-1	1.17377166018426690E+0	
1.12000000000000002E-1	1.17375780087441612E+0	
1.12500000000000002E-1	1.17374387895703835E+0	
1.13000000000000002E-1	1.17372989276289234E+0	
1.13500000000000002E-1	1.17371584396121935E+0	
1.14000000000000002E-1	1.17370174232392788E+0	
1.14500000000000002E-1	1.17368756226782932E+0	
1.15000000000000002E-1	1.17367332667522320E+0	
1.15500000000000002E-1	1.17365903117597917E+0	
1.16000000000000002E-1	1.17364467577009725E+0	
1.16500000000000002E-1	1.17363024901642766E+0	
1.17000000000000002E-1	1.17361576672625051E+0	
1.17500000000000002E-1	1.17360121745841604E+0	
1.18000000000000002E-1	1.17358660828394366E+0	
1.18500000000000002E-1	1.17357193920283338E+0	
1.19000000000000002E-1	1.17355720314406578E+0	
1.19500000000000002E-1	1.17354240010764085E+0	
1.20000000000000002E-1	1.17352754860572779E+0	
1.20500000000000002E-1	1.17351262575602706E+0	
1.21000000000000002E-1	1.17349763592866900E+0	
1.21500000000000002E-1	1.17348258619467305E+0	
1.22000000000000002E-1	1.17346748092416953E+0	
1.22500000000000003E-1	1.17345230430587835E+0	
1.23000000000000003E-1	1.17343707215107960E+0	
1.23500000000000003E-1	1.17342177571951262E+0	
1.24000000000000003E-1	1.17340641668041865E+0	
1.24500000000000003E-1	1.17339099336455644E+0	
1.25000000000000003E-1	1.17337550744116724E+0	
1.25500000000000003E-1	1.17335995724100980E+0	
1.26000000000000003E-1	1.17334434443332538E+0	
1.26500000000000003E-1	1.17332867171900306E+0	
1.27000000000000003E-1	1.17331293909804283E+0	
1.27500000000000003E-1	1.17329713512929494E+0	
1.28000000000000003E-1	1.17328127562403949E+0	
1.28500000000000003E-1	1.17326535621214614E+0	
1.29000000000000003E-1	1.17324936982259546E+0	
1.29500000000000003E-1	1.17323331645538746E+0	
1.30000000000000003E-1	1.17321721025256098E+0	
1.30500000000000003E-1	1.17320103000105775E+0	
1.31000000000000003E-1	1.17318479691393604E+0	
1.31500000000000003E-1	1.17316849684915701E+0	
1.32000000000000003E-1	1.17315212980672066E+0	
1.32500000000000003E-1	1.17313570285764640E+0	
1.33000000000000003E-1	1.17311922037206458E+0	
1.33500000000000003E-1	1.17310266653869510E+0	
1.34000000000000003E-1	1.17308605279868771E+0	
1.34500000000000003E-1	1.17306938352217276E+0	
1.35000000000000003E-1	1.17305264289787015E+0	
1.35500000000000003E-1	1.17303583529591022E+0	
1.36000000000000003E-1	1.17301897922846214E+0	
1.36500000000000003E-1	1.17300204474220698E+0	
1.37000000000000003E-1	1.17298506179046368E+0	
1.37500000000000003E-1	1.17296800749093271E+0	
1.38000000000000003E-1	1.17295089058387476E+0	
1.38500000000000003E-1	1.17293370940004857E+0	
1.39000000000000003E-1	1.17291647267971482E+0	
1.39500000000000003E-1	1.17289916461159340E+0	
1.40000000000000003E-1	1.17288180100696442E+0	
1.40500000000000003E-1	1.17286436605454778E+0	
1.41000000000000003E-1	1.17284687556562358E+0	
1.41500000000000003E-1	1.17282932517006147E+0	
1.42000000000000003E-1	1.17281170779684204E+0	
1.42500000000000003E-1	1.17279401907583494E+0	
1.43000000000000003E-1	1.17277628188933971E+0	
1.43500000000000003E-1	1.17275847065416772E+0	
1.44000000000000003E-1	1.17274060658337726E+0	
1.44500000000000003E-1	1.17272267553492948E+0	
1.45000000000000003E-1	1.17270467750882437E+0	
1.45500000000000003E-1	1.17268661520595102E+0	
1.46000000000000003E-1	1.17266849736657011E+0	
1.46500000000000003E-1	1.17265031254953187E+0	
1.47000000000000003E-1	1.17263206782585573E+0	
1.47500000000000003E-1	1.17261375612452226E+0	
1.48000000000000003E-1	1.17259538451655090E+0	
1.48500000000000003E-1	1.17257694593092221E+0	
1.49000000000000003E-1	1.17255844743865562E+0	
1.49500000000000003E-1	1.17253988903975113E+0	
1.50000000000000003E-1	1.17252126366318931E+0	
1.50500000000000003E-1	1.17250257130897017E+0	
1.51000000000000003E-1	1.17248381904811312E+0	
1.51500000000000003E-1	1.17246501125074852E+0	
1.52000000000000003E-1	1.17244613210559625E+0	
1.52500000000000003E-1	1.17242719305380607E+0	
1.53000000000000003E-1	1.17240819409537800E+0	
1.53500000000000003E-1	1.17238912815929260E+0	
1.54000000000000003E-1	1.17236999961568022E+0	
1.54500000000000003E-1	1.17235080679529960E+0	
1.55000000000000003E-1	1.17233155406828107E+0	
1.55500000000000003E-1	1.17231223436360522E+0	
1.56000000000000003E-1	1.17229284768127205E+0	
1.56500000000000003E-1	1.17227341253345073E+0	
1.57000000000000003E-1	1.17225389896682233E+0	
1.57500000000000003E-1	1.17223433256457545E+0	
1.58000000000000003E-1	1.17221470355480159E+0	
1.58500000000000003E-1	1.17219500319724006E+0	
1.59000000000000003E-1	1.17217524293304063E+0	
1.59500000000000003E-1	1.17215541569118388E+0	
1.60000000000000003E-1	1.17213553998383898E+0	
1.60500000000000003E-1	1.17211558585768700E+0	
1.61000000000000003E-1	1.17209557182489712E+0	
1.61500000000000003E-1	1.17207550225559968E+0	
1.62000000000000003E-1	1.17205536133851457E+0	
1.62500000000000003E-1	1.17203516051479156E+0	
1.63000000000000003E-1	1.17201489708354156E+0	
1.63500000000000003E-1	1.17199456937552333E+0	
1.64000000000000003E-1	1.17197417468984776E+0	
1.64500000000000003E-1	1.17195372446766464E+0	
1.65000000000000003E-1	1.17193320289769385E+0	
1.65500000000000003E-1	1.17191262142108517E+0	
1.66000000000000003E-1	1.17189197733694949E+0	
1.66500000000000003E-1	1.17187126897604558E+0	
1.67000000000000003E-1	1.17185050070850376E+0	
1.67500000000000003E-1	1.17182966983343496E+0	
1.68000000000000004E-1	1.17180876761057849E+0	
1.68500000000000004E-1	1.17178780548108413E+0	
1.69000000000000004E-1	1.17176678781508220E+0	
1.69500000000000004E-1	1.17174569880129260E+0	
1.70000000000000004E-1	1.17172455425099545E+0	
1.70500000000000004E-1	1.17170333835291063E+0	
1.71000000000000004E-1	1.17168206254818791E+0	
1.71500000000000004E-1	1.17166072413593820E+0	
1.72000000000000004E-1	1.17163931437590083E+0	
1.72500000000000004E-1	1.17161785178024498E+0	
1.73000000000000004E-1	1.17159631513591238E+0	
1.73500000000000004E-1	1.17157473002609165E+0	
1.74000000000000004E-1	1.17155306649746382E+0	
1.74500000000000004E-1	1.17153135013321752E+0	
1.75000000000000004E-1	1.17150955972029447E+0	
1.75500000000000004E-1	1.17148772084188329E+0	
1.76000000000000004E-1	1.17146580354466501E+0	
1.76500000000000004E-1	1.17144383341182826E+0	
1.77000000000000004E-1	1.17142178923031475E+0	
1.77500000000000004E-1	1.17139969658331311E+0	
1.78000000000000004E-1	1.17137752551750439E+0	
1.78500000000000004E-1	1.17135530161607718E+0	
1.79000000000000004E-1	1.17133301073699265E+0	
1.79500000000000004E-1	1.17131065288025079E+0	
1.80000000000000004E-1	1.17128823511687104E+0	
1.80500000000000004E-1	1.17126575037583395E+0	
1.81000000000000004E-1	1.17124320572815897E+0	
1.81500000000000004E-1	1.17122059847295700E+0	
1.82000000000000004E-1	1.17119792694098679E+0	
1.82500000000000004E-1	1.17117518843135926E+0	
1.83000000000000004E-1	1.17115239001509382E+0	
1.83500000000000004E-1	1.17112952025104072E+0	
1.84000000000000004E-1	1.17110659932061040E+0	
1.84500000000000004E-1	1.17108360267226207E+0	
1.85000000000000004E-1	1.17106055048740618E+0	
1.85500000000000004E-1	1.17103743839591239E+0	
1.86000000000000004E-1	1.17101425225574185E+0	
1.86500000000000004E-1	1.17099101327995284E+0	
